Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS - Multiple Browser n Profile,Firefox 84.0,,,2021-03-04 23:59:17,2021-03-05 01:06:34,1h - 7m - 17.256s,FAILED
,,,,,,,
Test Cases/TC1 - Login - Record n Play back,Firefox 84.0,,,2021-03-04 23:59:18,2021-03-05 01:06:13,1h - 6m - 54.235s,FAILED
"openBrowser("""")",Firefox 84.0,,,2021-03-04 23:59:19,2021-03-05 01:06:13,1h - 6m - 53.813s,FAILED
,,,,,,,
Test Cases/TC2 - Login - Continue Record,Firefox 84.0,,,2021-03-05 01:06:13,2021-03-05 01:06:23,10.465s,FAILED
"openBrowser("""")",Firefox 84.0,,,2021-03-05 01:06:13,2021-03-05 01:06:17,4.294s,PASSED
navigateToUrl(URL),Firefox 84.0,,,2021-03-05 01:06:17,2021-03-05 01:06:23,5.588s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Firefox 84.0,,,2021-03-05 01:06:23,2021-03-05 01:06:23,0.273s,FAILED
,,,,,,,
Test Cases/TC2 - Login - Data Driven,Firefox 84.0,,,2021-03-05 01:06:23,2021-03-05 01:06:34,10.867s,FAILED
"openBrowser("""")",Firefox 84.0,,,2021-03-05 01:06:23,2021-03-05 01:06:34,10.662s,FAILED
